client_id,cluster_id
163345,5
95736,15
50767,2
177559,10
27759,16
193968,2
200144,13
73521,13
61493,5
198541,13
111718,10
30141,10
195444,2
195665,10
181895,2
191446,15
17410,2
190698,10
149509,10
41159,2
71119,13
113469,15
144565,8
183741,13
160805,10
193351,2
81791,15
9289,10
189515,2
189330,5
16418,16
106154,2
124591,13
187963,5
188150,10
134622,13
187590,10
167426,2
181785,2
100424,10
182282,13
95589,0
87016,10
15097,5
1129,10
11429,10
171997,10
15585,13
182096,2
181330,2
166819,2
123725,18
91106,5
58382,16
180653,2
170384,16
123784,5
176234,13
177444,5
75292,13
175661,13
174807,16
25935,10
91374,13
72749,2
34776,5
173366,13
10207,5
111916,2
32411,2
11875,2
165384,2
132154,10
17168,2
163956,5
121344,5
114625,2
61921,13
11459,2
104126,10
136160,13
158423,16
116660,5
157274,5
57162,2
154277,13
7168,2
30034,16
112857,10
73134,15
153719,13
110292,13
26640,10
6926,5
20703,13
98059,5
109255,16
32890,13
78916,10
40546,10
91017,2
3673,13
38929,2
113159,2
19152,2
12206,2
3934,2
41815,5
139668,5
14630,2
124186,5
137054,2
134958,2
134068,2
33756,15
10640,16
114487,2
73107,2
117503,13
132240,5
57405,2
4103,2
110934,5
124150,5
124754,5
170490,13
48637,2
110395,2
106036,0
107062,2
32942,5
117135,16
96718,5
102173,5
14348,10
28526,5
44287,5
43727,2
21764,2
43675,2
78150,13
94971,5
34759,2
72587,13
5318,5
116380,13
80934,2
91393,5
94125,13
171372,2
125692,10
21323,13
112711,5
192432,15
74837,10
13521,2
112734,10
108460,2
4879,2
175816,16
17751,13
169198,13
169745,5
1683,1
60134,10
1971,10
24203,6
155454,13
112301,5
60984,15
114770,5
2397,5
84580,10
160728,5
92719,2
35226,5
8224,10
8909,5
111935,16
160723,13
103922,13
11984,2
76970,10
76213,10
28776,2
75372,5
71516,2
25693,19
6713,13
4766,2
14363,16
35222,2
17514,2
63647,2
186357,2
2891,15
54030,2
149025,10
52507,10
190864,13
7644,5
76886,12
17352,13
53041,2
138338,2
200762,2
111753,2
71805,2
62692,2
188120,5
132033,5
178585,5
180119,2
25132,13
180399,2
32743,5
82185,2
62966,13
165507,13
164473,2
157907,2
23224,2
51371,10
8803,16
147777,5
65182,2
146413,2
122910,13
140129,13
18589,2
106861,15
112780,2
130977,13
32229,2
11704,15
179418,2
121983,5
38622,5
108953,2
72456,13
117817,2
32313,2
99729,15
95633,2
34204,2
44372,16
48032,8
42905,2
92804,15
38613,5
37331,12
115349,9
116007,10
156459,10
65518,5
90408,13
184890,2
105620,10
32348,4
615,2
36391,2
147958,16
13088,2
22299,13
106936,10
35908,2
72288,2
21712,2
177804,10
36389,5
21004,2
5580,15
160544,10
137745,13
7695,2
18963,13
178328,5
48287,2
50876,13
102853,13
103249,5
102949,5
108830,13
77950,2
76190,2
26823,2
10776,5
20127,5
196835,4
31841,5
8385,2
48938,2
49372,2
132416,5
6233,2
172304,13
188902,5
54606,5
52310,16
94938,13
72447,2
193946,2
189322,2
3821,13
183940,5
160488,13
17144,13
59946,13
158905,5
176693,5
138229,5
167537,2
42325,5
103269,13
154730,2
69184,13
110255,10
140553,13
137021,13
98938,13
115310,2
167452,10
126962,2
67154,5
196775,2
87355,13
107190,13
144471,13
11885,13
165357,2
10871,5
164168,2
14936,5
153959,5
39171,13
128704,2
140426,2
113016,5
114904,5
78099,10
53958,5
27505,2
27681,10
148599,2
196715,2
14750,14
102852,5
71714,16
177951,10
59150,2
15917,5
12207,15
64742,2
153908,5
138801,4
97256,13
99202,5
133877,13
123003,16
129014,2
40300,13
127336,5
64951,2
102992,2
112937,16
120361,16
29961,16
72226,13
179616,10
117295,13
180683,10
199921,2
160441,2
194404,13
156710,13
94216,13
140331,2
183704,10
180912,13
180818,5
85930,13
24810,10
163155,5
84511,2
25911,13
55369,2
141343,13
141937,13
64755,13
64161,13
120297,16
123110,13
122820,2
100063,2
44425,10
88584,13
192407,13
184649,5
168897,15
170114,2
107122,13
75461,5
77798,13
79121,19
75695,2
78460,10
22102,2
71032,5
72402,13
62681,16
57229,2
169107,2
2641,14
107581,5
998,2
177654,16
142798,2
4806,13
52984,2
78896,5
103303,10
14903,13
19746,13
